seed: 1024
device: cuda:0
data_path: ./data/
dataset: Beauty
num_workers: 4
id_type: tiger
in_dims: [4096, 2048, 1024, 512, 256, 128, 64, 32]
codebook_dim: 32
codebook_sizes: [256, 256, 256, 256]
rqvae_dropout: 0
sinkhorn_open: True
sinkhorn_epsilons: [0.0, 0.0, 0.0, 0.003]
sinkhorn_iter: 50
kmeans_init_iter: 10
kmeans_cluster: 10
mu: 0.25
alpha: 0.02
beta: 0.0001
rqvae_epochs: 20000
rqvae_batch_size: 1024
rqvae_lr: 0.001
rqvae_wd: 0.0001
rqvae_optimizer: adamw
rqvae_eval_step: 2000
rqvae_eval_metric: unique_key_ratio
t54rec_config_dir_path: ./extra_config/tiger
rqvae_select_position: last
t54rec_epochs: 200
t54rec_train_batch_size: 256
t54rec_valid_batch_size: 64
t54rec_test_batch_size: 64
max_len: 20
t54rec_lr: 0.0005
t54rec_wd: 0.01
t54rec_optimizer: adamw
scheduler_type: cosine
warmup_ratio: 0.01
t54rec_eval_step: 1
t54rec_early_stop_step: 20
t54rec_eval_metric: loss
beam_size: 20
metrics: ['Recall', 'NDCG']
Step [30/514] - Avg Loss: 1.9266, Current lr: 0.0004946531
Step [40/514] - Avg Loss: 1.9278, Current lr: 0.0004946372
Step [50/514] - Avg Loss: 1.9244, Current lr: 0.0004946213
Step [60/514] - Avg Loss: 1.9221, Current lr: 0.0004946054
Step [70/514] - Avg Loss: 1.9208, Current lr: 0.0004945894
Step [80/514] - Avg Loss: 1.9154, Current lr: 0.0004945734
Step [90/514] - Avg Loss: 1.9157, Current lr: 0.0004945574
Step [100/514] - Avg Loss: 1.9164, Current lr: 0.0004945414
Step [110/514] - Avg Loss: 1.9133, Current lr: 0.0004945253
Step [120/514] - Avg Loss: 1.9134, Current lr: 0.0004945093
Step [130/514] - Avg Loss: 1.9133, Current lr: 0.0004944932
Step [140/514] - Avg Loss: 1.9142, Current lr: 0.0004944771
Step [150/514] - Avg Loss: 1.9146, Current lr: 0.0004944609
Step [160/514] - Avg Loss: 1.9155, Current lr: 0.0004944447
Step [170/514] - Avg Loss: 1.9141, Current lr: 0.0004944286
Step [180/514] - Avg Loss: 1.9148, Current lr: 0.0004944123
Step [190/514] - Avg Loss: 1.9157, Current lr: 0.0004943961
Step [200/514] - Avg Loss: 1.9171, Current lr: 0.0004943798
Step [210/514] - Avg Loss: 1.9176, Current lr: 0.0004943636
Step [220/514] - Avg Loss: 1.9180, Current lr: 0.0004943473
Step [230/514] - Avg Loss: 1.9177, Current lr: 0.0004943309
Step [240/514] - Avg Loss: 1.9174, Current lr: 0.0004943146
Step [250/514] - Avg Loss: 1.9183, Current lr: 0.0004942982
Step [260/514] - Avg Loss: 1.9189, Current lr: 0.0004942818
Step [270/514] - Avg Loss: 1.9197, Current lr: 0.0004942654
Step [280/514] - Avg Loss: 1.9195, Current lr: 0.0004942489
Step [290/514] - Avg Loss: 1.9198, Current lr: 0.0004942325
Step [300/514] - Avg Loss: 1.9206, Current lr: 0.0004942160
Step [310/514] - Avg Loss: 1.9203, Current lr: 0.0004941994
Step [320/514] - Avg Loss: 1.9205, Current lr: 0.0004941829
Step [330/514] - Avg Loss: 1.9205, Current lr: 0.0004941663
Step [340/514] - Avg Loss: 1.9211, Current lr: 0.0004941498
Step [350/514] - Avg Loss: 1.9205, Current lr: 0.0004941332
Step [360/514] - Avg Loss: 1.9203, Current lr: 0.0004941165
Step [370/514] - Avg Loss: 1.9202, Current lr: 0.0004940999
Step [380/514] - Avg Loss: 1.9202, Current lr: 0.0004940832
Step [390/514] - Avg Loss: 1.9208, Current lr: 0.0004940665
Step [400/514] - Avg Loss: 1.9209, Current lr: 0.0004940498
Step [410/514] - Avg Loss: 1.9212, Current lr: 0.0004940330
Step [420/514] - Avg Loss: 1.9214, Current lr: 0.0004940162
Step [430/514] - Avg Loss: 1.9210, Current lr: 0.0004939994
Step [440/514] - Avg Loss: 1.9206, Current lr: 0.0004939826
Step [450/514] - Avg Loss: 1.9207, Current lr: 0.0004939658
Step [460/514] - Avg Loss: 1.9208, Current lr: 0.0004939489
Step [470/514] - Avg Loss: 1.9210, Current lr: 0.0004939320
Step [480/514] - Avg Loss: 1.9209, Current lr: 0.0004939151
Step [490/514] - Avg Loss: 1.9213, Current lr: 0.0004938982
Step [500/514] - Avg Loss: 1.9211, Current lr: 0.0004938812
Step [510/514] - Avg Loss: 1.9212, Current lr: 0.0004938642
Epoch [16] - Avg Loss: 1.9211
Epoch [16] - Start Eval
Eval - Avg Loss: 1.9005
Save model at epoch [16]
Epoch [17] - Start Training
Step [10/514] - Avg Loss: 1.8790, Current lr: 0.0004938404
Step [20/514] - Avg Loss: 1.8853, Current lr: 0.0004938234
Step [30/514] - Avg Loss: 1.8845, Current lr: 0.0004938063
Step [40/514] - Avg Loss: 1.8839, Current lr: 0.0004937893
Step [50/514] - Avg Loss: 1.8835, Current lr: 0.0004937721
Step [60/514] - Avg Loss: 1.8827, Current lr: 0.0004937550
Step [70/514] - Avg Loss: 1.8816, Current lr: 0.0004937379
Step [80/514] - Avg Loss: 1.8857, Current lr: 0.0004937207
Step [90/514] - Avg Loss: 1.8886, Current lr: 0.0004937035
Step [100/514] - Avg Loss: 1.8864, Current lr: 0.0004936863
Step [110/514] - Avg Loss: 1.8893, Current lr: 0.0004936690
Step [120/514] - Avg Loss: 1.8879, Current lr: 0.0004936518
Step [130/514] - Avg Loss: 1.8872, Current lr: 0.0004936345
Step [140/514] - Avg Loss: 1.8891, Current lr: 0.0004936171
Step [150/514] - Avg Loss: 1.8888, Current lr: 0.0004935998
Step [160/514] - Avg Loss: 1.8904, Current lr: 0.0004935824
Step [170/514] - Avg Loss: 1.8900, Current lr: 0.0004935651
Step [180/514] - Avg Loss: 1.8900, Current lr: 0.0004935477
Step [190/514] - Avg Loss: 1.8898, Current lr: 0.0004935302
Step [200/514] - Avg Loss: 1.8904, Current lr: 0.0004935128
Step [210/514] - Avg Loss: 1.8914, Current lr: 0.0004934953
Step [220/514] - Avg Loss: 1.8924, Current lr: 0.0004934778
Step [230/514] - Avg Loss: 1.8932, Current lr: 0.0004934603
Step [240/514] - Avg Loss: 1.8928, Current lr: 0.0004934427
Step [250/514] - Avg Loss: 1.8919, Current lr: 0.0004934251
Step [260/514] - Avg Loss: 1.8913, Current lr: 0.0004934075
Step [270/514] - Avg Loss: 1.8916, Current lr: 0.0004933899
Step [280/514] - Avg Loss: 1.8917, Current lr: 0.0004933723
Step [290/514] - Avg Loss: 1.8925, Current lr: 0.0004933546
Step [300/514] - Avg Loss: 1.8926, Current lr: 0.0004933369
Step [310/514] - Avg Loss: 1.8931, Current lr: 0.0004933192
Step [320/514] - Avg Loss: 1.8939, Current lr: 0.0004933015
Step [330/514] - Avg Loss: 1.8942, Current lr: 0.0004932837
Step [340/514] - Avg Loss: 1.8946, Current lr: 0.0004932660
Step [350/514] - Avg Loss: 1.8947, Current lr: 0.0004932482
Step [360/514] - Avg Loss: 1.8951, Current lr: 0.0004932303
Step [370/514] - Avg Loss: 1.8950, Current lr: 0.0004932125
Step [380/514] - Avg Loss: 1.8952, Current lr: 0.0004931946
Step [390/514] - Avg Loss: 1.8951, Current lr: 0.0004931767
Step [400/514] - Avg Loss: 1.8950, Current lr: 0.0004931588
Step [410/514] - Avg Loss: 1.8947, Current lr: 0.0004931409
Step [420/514] - Avg Loss: 1.8952, Current lr: 0.0004931229
Step [430/514] - Avg Loss: 1.8949, Current lr: 0.0004931049
Step [440/514] - Avg Loss: 1.8948, Current lr: 0.0004930869
Step [450/514] - Avg Loss: 1.8949, Current lr: 0.0004930689
Step [460/514] - Avg Loss: 1.8946, Current lr: 0.0004930508
Step [470/514] - Avg Loss: 1.8951, Current lr: 0.0004930327
Step [480/514] - Avg Loss: 1.8948, Current lr: 0.0004930146
Step [490/514] - Avg Loss: 1.8948, Current lr: 0.0004929965
Step [500/514] - Avg Loss: 1.8956, Current lr: 0.0004929783
Step [510/514] - Avg Loss: 1.8959, Current lr: 0.0004929602
Epoch [17] - Avg Loss: 1.8958
Epoch [17] - Start Eval
Eval - Avg Loss: 1.8789
Save model at epoch [17]
Epoch [18] - Start Training
Step [10/514] - Avg Loss: 1.8693, Current lr: 0.0004929347
Step [20/514] - Avg Loss: 1.8696, Current lr: 0.0004929165
Step [30/514] - Avg Loss: 1.8714, Current lr: 0.0004928982
Step [40/514] - Avg Loss: 1.8659, Current lr: 0.0004928799
Step [50/514] - Avg Loss: 1.8679, Current lr: 0.0004928616
Step [60/514] - Avg Loss: 1.8698, Current lr: 0.0004928433
Step [70/514] - Avg Loss: 1.8719, Current lr: 0.0004928250
Step [80/514] - Avg Loss: 1.8717, Current lr: 0.0004928066
Step [90/514] - Avg Loss: 1.8727, Current lr: 0.0004927882
Step [100/514] - Avg Loss: 1.8739, Current lr: 0.0004927698
Step [110/514] - Avg Loss: 1.8767, Current lr: 0.0004927514
Step [120/514] - Avg Loss: 1.8781, Current lr: 0.0004927329
Step [130/514] - Avg Loss: 1.8772, Current lr: 0.0004927144
Step [140/514] - Avg Loss: 1.8773, Current lr: 0.0004926959
Step [150/514] - Avg Loss: 1.8778, Current lr: 0.0004926774
Step [160/514] - Avg Loss: 1.8758, Current lr: 0.0004926588
Step [170/514] - Avg Loss: 1.8768, Current lr: 0.0004926402
Step [180/514] - Avg Loss: 1.8765, Current lr: 0.0004926217
Step [190/514] - Avg Loss: 1.8764, Current lr: 0.0004926030
Step [200/514] - Avg Loss: 1.8758, Current lr: 0.0004925844
Step [210/514] - Avg Loss: 1.8746, Current lr: 0.0004925657
Step [220/514] - Avg Loss: 1.8758, Current lr: 0.0004925470
Step [230/514] - Avg Loss: 1.8762, Current lr: 0.0004925283
Step [240/514] - Avg Loss: 1.8763, Current lr: 0.0004925096
Step [250/514] - Avg Loss: 1.8759, Current lr: 0.0004924908
Step [260/514] - Avg Loss: 1.8764, Current lr: 0.0004924720
Step [270/514] - Avg Loss: 1.8762, Current lr: 0.0004924532
Step [280/514] - Avg Loss: 1.8766, Current lr: 0.0004924344
Step [290/514] - Avg Loss: 1.8767, Current lr: 0.0004924155
Step [300/514] - Avg Loss: 1.8772, Current lr: 0.0004923967
Step [310/514] - Avg Loss: 1.8765, Current lr: 0.0004923778
Step [320/514] - Avg Loss: 1.8773, Current lr: 0.0004923588
Step [330/514] - Avg Loss: 1.8767, Current lr: 0.0004923399
Step [340/514] - Avg Loss: 1.8767, Current lr: 0.0004923209
Step [350/514] - Avg Loss: 1.8767, Current lr: 0.0004923019
Step [360/514] - Avg Loss: 1.8763, Current lr: 0.0004922829
Step [370/514] - Avg Loss: 1.8760, Current lr: 0.0004922639
Step [380/514] - Avg Loss: 1.8756, Current lr: 0.0004922448
Step [390/514] - Avg Loss: 1.8757, Current lr: 0.0004922257
Step [400/514] - Avg Loss: 1.8762, Current lr: 0.0004922066
Step [410/514] - Avg Loss: 1.8762, Current lr: 0.0004921875
Step [420/514] - Avg Loss: 1.8763, Current lr: 0.0004921683
Step [430/514] - Avg Loss: 1.8758, Current lr: 0.0004921492
Step [440/514] - Avg Loss: 1.8757, Current lr: 0.0004921300
Step [450/514] - Avg Loss: 1.8756, Current lr: 0.0004921107
Step [460/514] - Avg Loss: 1.8750, Current lr: 0.0004920915
Step [470/514] - Avg Loss: 1.8752, Current lr: 0.0004920722
Step [480/514] - Avg Loss: 1.8752, Current lr: 0.0004920529
Step [490/514] - Avg Loss: 1.8753, Current lr: 0.0004920336
Step [500/514] - Avg Loss: 1.8752, Current lr: 0.0004920143
Step [510/514] - Avg Loss: 1.8752, Current lr: 0.0004919949
Epoch [18] - Avg Loss: 1.8748
Epoch [18] - Start Eval
Eval - Avg Loss: 1.8652
Save model at epoch [18]
Epoch [19] - Start Training
Step [10/514] - Avg Loss: 1.8729, Current lr: 0.0004919678
Step [20/514] - Avg Loss: 1.8450, Current lr: 0.0004919484
Step [30/514] - Avg Loss: 1.8473, Current lr: 0.0004919289
Step [40/514] - Avg Loss: 1.8388, Current lr: 0.0004919095
Step [50/514] - Avg Loss: 1.8401, Current lr: 0.0004918900
Step [60/514] - Avg Loss: 1.8442, Current lr: 0.0004918705
Step [70/514] - Avg Loss: 1.8448, Current lr: 0.0004918509
Step [80/514] - Avg Loss: 1.8451, Current lr: 0.0004918314
Step [90/514] - Avg Loss: 1.8461, Current lr: 0.0004918118
Step [100/514] - Avg Loss: 1.8452, Current lr: 0.0004917922
Step [110/514] - Avg Loss: 1.8454, Current lr: 0.0004917726
Step [120/514] - Avg Loss: 1.8457, Current lr: 0.0004917529
Step [130/514] - Avg Loss: 1.8483, Current lr: 0.0004917333
Step [140/514] - Avg Loss: 1.8475, Current lr: 0.0004917136
Step [150/514] - Avg Loss: 1.8486, Current lr: 0.0004916939
Step [160/514] - Avg Loss: 1.8493, Current lr: 0.0004916741
Step [170/514] - Avg Loss: 1.8492, Current lr: 0.0004916544
Step [180/514] - Avg Loss: 1.8486, Current lr: 0.0004916346
Step [190/514] - Avg Loss: 1.8492, Current lr: 0.0004916148
Step [200/514] - Avg Loss: 1.8492, Current lr: 0.0004915949
Step [210/514] - Avg Loss: 1.8485, Current lr: 0.0004915751
Step [220/514] - Avg Loss: 1.8507, Current lr: 0.0004915552
Step [230/514] - Avg Loss: 1.8508, Current lr: 0.0004915353
Step [240/514] - Avg Loss: 1.8518, Current lr: 0.0004915154
Step [250/514] - Avg Loss: 1.8519, Current lr: 0.0004914954
Step [260/514] - Avg Loss: 1.8520, Current lr: 0.0004914755
Step [270/514] - Avg Loss: 1.8517, Current lr: 0.0004914555
Step [280/514] - Avg Loss: 1.8514, Current lr: 0.0004914355
Step [290/514] - Avg Loss: 1.8516, Current lr: 0.0004914154
Step [300/514] - Avg Loss: 1.8513, Current lr: 0.0004913954
Step [310/514] - Avg Loss: 1.8512, Current lr: 0.0004913753
Step [320/514] - Avg Loss: 1.8516, Current lr: 0.0004913552
Step [330/514] - Avg Loss: 1.8517, Current lr: 0.0004913350
Step [340/514] - Avg Loss: 1.8517, Current lr: 0.0004913149
Step [350/514] - Avg Loss: 1.8521, Current lr: 0.0004912947
Step [360/514] - Avg Loss: 1.8527, Current lr: 0.0004912745
Step [370/514] - Avg Loss: 1.8533, Current lr: 0.0004912543
Step [380/514] - Avg Loss: 1.8532, Current lr: 0.0004912340
Step [390/514] - Avg Loss: 1.8537, Current lr: 0.0004912138
Step [400/514] - Avg Loss: 1.8539, Current lr: 0.0004911935
Step [410/514] - Avg Loss: 1.8537, Current lr: 0.0004911732
Step [420/514] - Avg Loss: 1.8541, Current lr: 0.0004911528
Step [430/514] - Avg Loss: 1.8545, Current lr: 0.0004911325
Step [440/514] - Avg Loss: 1.8550, Current lr: 0.0004911121
Step [450/514] - Avg Loss: 1.8547, Current lr: 0.0004910917
Step [460/514] - Avg Loss: 1.8543, Current lr: 0.0004910713
Step [470/514] - Avg Loss: 1.8540, Current lr: 0.0004910508
Step [480/514] - Avg Loss: 1.8542, Current lr: 0.0004910303
Step [490/514] - Avg Loss: 1.8543, Current lr: 0.0004910098
Step [500/514] - Avg Loss: 1.8542, Current lr: 0.0004909893
Step [510/514] - Avg Loss: 1.8540, Current lr: 0.0004909688
Epoch [19] - Avg Loss: 1.8537
Epoch [19] - Start Eval
Eval - Avg Loss: 1.8533
Save model at epoch [19]
Epoch [20] - Start Training
Step [10/514] - Avg Loss: 1.8179, Current lr: 0.0004909400
Step [20/514] - Avg Loss: 1.8219, Current lr: 0.0004909194
Step [30/514] - Avg Loss: 1.8258, Current lr: 0.0004908987
Step [40/514] - Avg Loss: 1.8258, Current lr: 0.0004908781
Step [50/514] - Avg Loss: 1.8282, Current lr: 0.0004908574
Step [60/514] - Avg Loss: 1.8259, Current lr: 0.0004908367
Step [70/514] - Avg Loss: 1.8259, Current lr: 0.0004908160
Step [80/514] - Avg Loss: 1.8266, Current lr: 0.0004907953
Step [90/514] - Avg Loss: 1.8270, Current lr: 0.0004907745
Step [100/514] - Avg Loss: 1.8271, Current lr: 0.0004907537
Step [110/514] - Avg Loss: 1.8261, Current lr: 0.0004907329
Step [120/514] - Avg Loss: 1.8265, Current lr: 0.0004907121
Step [130/514] - Avg Loss: 1.8286, Current lr: 0.0004906913
Step [140/514] - Avg Loss: 1.8279, Current lr: 0.0004906704
Step [150/514] - Avg Loss: 1.8279, Current lr: 0.0004906495
Step [160/514] - Avg Loss: 1.8273, Current lr: 0.0004906286
Step [170/514] - Avg Loss: 1.8281, Current lr: 0.0004906076
Step [180/514] - Avg Loss: 1.8296, Current lr: 0.0004905867
Step [190/514] - Avg Loss: 1.8293, Current lr: 0.0004905657
Step [200/514] - Avg Loss: 1.8304, Current lr: 0.0004905447
Step [210/514] - Avg Loss: 1.8313, Current lr: 0.0004905236
Step [220/514] - Avg Loss: 1.8314, Current lr: 0.0004905026
Step [230/514] - Avg Loss: 1.8313, Current lr: 0.0004904815
Step [240/514] - Avg Loss: 1.8308, Current lr: 0.0004904604
Step [250/514] - Avg Loss: 1.8312, Current lr: 0.0004904393
Step [260/514] - Avg Loss: 1.8311, Current lr: 0.0004904181
Step [270/514] - Avg Loss: 1.8309, Current lr: 0.0004903969
Step [280/514] - Avg Loss: 1.8312, Current lr: 0.0004903757
Step [290/514] - Avg Loss: 1.8311, Current lr: 0.0004903545
Step [300/514] - Avg Loss: 1.8317, Current lr: 0.0004903333
Step [310/514] - Avg Loss: 1.8324, Current lr: 0.0004903120
Step [320/514] - Avg Loss: 1.8324, Current lr: 0.0004902907
Step [330/514] - Avg Loss: 1.8318, Current lr: 0.0004902694
Step [340/514] - Avg Loss: 1.8323, Current lr: 0.0004902481
Step [350/514] - Avg Loss: 1.8329, Current lr: 0.0004902267
Step [360/514] - Avg Loss: 1.8328, Current lr: 0.0004902054
Step [370/514] - Avg Loss: 1.8331, Current lr: 0.0004901840
Step [380/514] - Avg Loss: 1.8334, Current lr: 0.0004901625
Step [390/514] - Avg Loss: 1.8338, Current lr: 0.0004901411
Step [400/514] - Avg Loss: 1.8341, Current lr: 0.0004901196
Step [410/514] - Avg Loss: 1.8345, Current lr: 0.0004900981
Step [420/514] - Avg Loss: 1.8351, Current lr: 0.0004900766
Step [430/514] - Avg Loss: 1.8355, Current lr: 0.0004900551
Step [440/514] - Avg Loss: 1.8357, Current lr: 0.0004900335
Step [450/514] - Avg Loss: 1.8356, Current lr: 0.0004900119
Step [460/514] - Avg Loss: 1.8356, Current lr: 0.0004899903
Step [470/514] - Avg Loss: 1.8357, Current lr: 0.0004899687
Step [480/514] - Avg Loss: 1.8361, Current lr: 0.0004899470
Step [490/514] - Avg Loss: 1.8367, Current lr: 0.0004899254
Step [500/514] - Avg Loss: 1.8368, Current lr: 0.0004899037
Step [510/514] - Avg Loss: 1.8373, Current lr: 0.0004898819
Epoch [20] - Avg Loss: 1.8369
Epoch [20] - Start Eval
Eval - Avg Loss: 1.8422
Save model at epoch [20]
Epoch [21] - Start Training
Step [10/514] - Avg Loss: 1.8048, Current lr: 0.0004898515
Step [20/514] - Avg Loss: 1.8161, Current lr: 0.0004898297
Step [30/514] - Avg Loss: 1.8129, Current lr: 0.0004898079
Step [40/514] - Avg Loss: 1.8150, Current lr: 0.0004897861
Step [50/514] - Avg Loss: 1.8119, Current lr: 0.0004897642
Step [60/514] - Avg Loss: 1.8116, Current lr: 0.0004897424
Step [70/514] - Avg Loss: 1.8133, Current lr: 0.0004897205
Step [80/514] - Avg Loss: 1.8147, Current lr: 0.0004896986
Step [90/514] - Avg Loss: 1.8141, Current lr: 0.0004896766
Step [100/514] - Avg Loss: 1.8137, Current lr: 0.0004896547
Step [110/514] - Avg Loss: 1.8147, Current lr: 0.0004896327
Step [120/514] - Avg Loss: 1.8163, Current lr: 0.0004896107
Step [130/514] - Avg Loss: 1.8149, Current lr: 0.0004895887
Step [140/514] - Avg Loss: 1.8155, Current lr: 0.0004895666
Step [150/514] - Avg Loss: 1.8169, Current lr: 0.0004895445
Step [160/514] - Avg Loss: 1.8160, Current lr: 0.0004895224
Step [170/514] - Avg Loss: 1.8158, Current lr: 0.0004895003
Step [180/514] - Avg Loss: 1.8157, Current lr: 0.0004894782
Step [190/514] - Avg Loss: 1.8164, Current lr: 0.0004894560
Step [200/514] - Avg Loss: 1.8160, Current lr: 0.0004894338
Step [210/514] - Avg Loss: 1.8156, Current lr: 0.0004894116
Step [220/514] - Avg Loss: 1.8148, Current lr: 0.0004893894
Step [230/514] - Avg Loss: 1.8157, Current lr: 0.0004893671
Step [240/514] - Avg Loss: 1.8159, Current lr: 0.0004893449
Step [250/514] - Avg Loss: 1.8159, Current lr: 0.0004893226
Step [260/514] - Avg Loss: 1.8156, Current lr: 0.0004893002
Step [270/514] - Avg Loss: 1.8158, Current lr: 0.0004892779
Step [280/514] - Avg Loss: 1.8162, Current lr: 0.0004892555
Step [290/514] - Avg Loss: 1.8163, Current lr: 0.0004892331
Step [300/514] - Avg Loss: 1.8168, Current lr: 0.0004892107
Step [310/514] - Avg Loss: 1.8176, Current lr: 0.0004891883
Step [320/514] - Avg Loss: 1.8180, Current lr: 0.0004891658
Step [330/514] - Avg Loss: 1.8176, Current lr: 0.0004891433
Step [340/514] - Avg Loss: 1.8175, Current lr: 0.0004891208
Step [350/514] - Avg Loss: 1.8187, Current lr: 0.0004890983
Step [360/514] - Avg Loss: 1.8188, Current lr: 0.0004890757
Step [370/514] - Avg Loss: 1.8191, Current lr: 0.0004890532
Step [380/514] - Avg Loss: 1.8197, Current lr: 0.0004890306
Step [390/514] - Avg Loss: 1.8197, Current lr: 0.0004890079
Step [400/514] - Avg Loss: 1.8199, Current lr: 0.0004889853
Step [410/514] - Avg Loss: 1.8198, Current lr: 0.0004889626
Step [420/514] - Avg Loss: 1.8191, Current lr: 0.0004889399
Step [430/514] - Avg Loss: 1.8191, Current lr: 0.0004889172
Step [440/514] - Avg Loss: 1.8194, Current lr: 0.0004888945
Step [450/514] - Avg Loss: 1.8195, Current lr: 0.0004888717
Step [460/514] - Avg Loss: 1.8199, Current lr: 0.0004888490
Step [470/514] - Avg Loss: 1.8201, Current lr: 0.0004888262
Step [480/514] - Avg Loss: 1.8200, Current lr: 0.0004888033
Step [490/514] - Avg Loss: 1.8202, Current lr: 0.0004887805
Step [500/514] - Avg Loss: 1.8198, Current lr: 0.0004887576
Step [510/514] - Avg Loss: 1.8191, Current lr: 0.0004887347
Epoch [21] - Avg Loss: 1.8191
Epoch [21] - Start Eval
Eval - Avg Loss: 1.8300
Save model at epoch [21]
Epoch [22] - Start Training
Step [10/514] - Avg Loss: 1.7883, Current lr: 0.0004887026
Step [20/514] - Avg Loss: 1.7958, Current lr: 0.0004886797
Step [30/514] - Avg Loss: 1.7923, Current lr: 0.0004886567
Step [40/514] - Avg Loss: 1.7897, Current lr: 0.0004886337
Step [50/514] - Avg Loss: 1.7951, Current lr: 0.0004886107
Step [60/514] - Avg Loss: 1.7995, Current lr: 0.0004885877
Step [70/514] - Avg Loss: 1.7992, Current lr: 0.0004885646
Step [80/514] - Avg Loss: 1.7998, Current lr: 0.0004885415
Step [90/514] - Avg Loss: 1.7977, Current lr: 0.0004885184
Step [100/514] - Avg Loss: 1.7993, Current lr: 0.0004884953
Step [110/514] - Avg Loss: 1.8004, Current lr: 0.0004884721
Step [120/514] - Avg Loss: 1.8010, Current lr: 0.0004884490
Step [130/514] - Avg Loss: 1.8014, Current lr: 0.0004884258
Step [140/514] - Avg Loss: 1.8023, Current lr: 0.0004884025
Step [150/514] - Avg Loss: 1.8031, Current lr: 0.0004883793
Step [160/514] - Avg Loss: 1.8017, Current lr: 0.0004883560
Step [170/514] - Avg Loss: 1.8035, Current lr: 0.0004883327
Step [180/514] - Avg Loss: 1.8031, Current lr: 0.0004883094
Step [190/514] - Avg Loss: 1.8034, Current lr: 0.0004882861
Step [200/514] - Avg Loss: 1.8033, Current lr: 0.0004882627
Step [210/514] - Avg Loss: 1.8041, Current lr: 0.0004882394
Step [220/514] - Avg Loss: 1.8049, Current lr: 0.0004882160
Step [230/514] - Avg Loss: 1.8053, Current lr: 0.0004881925
Step [240/514] - Avg Loss: 1.8054, Current lr: 0.0004881691
Step [250/514] - Avg Loss: 1.8049, Current lr: 0.0004881456
Step [260/514] - Avg Loss: 1.8050, Current lr: 0.0004881221
Step [270/514] - Avg Loss: 1.8054, Current lr: 0.0004880986
Step [280/514] - Avg Loss: 1.8047, Current lr: 0.0004880751
Step [290/514] - Avg Loss: 1.8040, Current lr: 0.0004880515
Step [300/514] - Avg Loss: 1.8037, Current lr: 0.0004880279
Step [310/514] - Avg Loss: 1.8035, Current lr: 0.0004880043
Step [320/514] - Avg Loss: 1.8037, Current lr: 0.0004879807
Step [330/514] - Avg Loss: 1.8040, Current lr: 0.0004879570
Step [340/514] - Avg Loss: 1.8039, Current lr: 0.0004879333
Step [350/514] - Avg Loss: 1.8038, Current lr: 0.0004879097
Step [360/514] - Avg Loss: 1.8044, Current lr: 0.0004878859
Step [370/514] - Avg Loss: 1.8045, Current lr: 0.0004878622
Step [380/514] - Avg Loss: 1.8047, Current lr: 0.0004878384
Step [390/514] - Avg Loss: 1.8050, Current lr: 0.0004878146
Step [400/514] - Avg Loss: 1.8058, Current lr: 0.0004877908
Step [410/514] - Avg Loss: 1.8051, Current lr: 0.0004877670
Step [420/514] - Avg Loss: 1.8050, Current lr: 0.0004877431
Step [430/514] - Avg Loss: 1.8055, Current lr: 0.0004877193
Step [440/514] - Avg Loss: 1.8059, Current lr: 0.0004876954
Step [450/514] - Avg Loss: 1.8056, Current lr: 0.0004876714
Step [460/514] - Avg Loss: 1.8053, Current lr: 0.0004876475
Step [470/514] - Avg Loss: 1.8055, Current lr: 0.0004876235
Step [480/514] - Avg Loss: 1.8049, Current lr: 0.0004875995
Step [490/514] - Avg Loss: 1.8050, Current lr: 0.0004875755
Step [500/514] - Avg Loss: 1.8049, Current lr: 0.0004875515
Step [510/514] - Avg Loss: 1.8049, Current lr: 0.0004875274
Epoch [22] - Avg Loss: 1.8048
Epoch [22] - Start Eval
Eval - Avg Loss: 1.8196
Save model at epoch [22]
Epoch [23] - Start Training
Step [10/514] - Avg Loss: 1.7594, Current lr: 0.0004874937
Step [20/514] - Avg Loss: 1.7613, Current lr: 0.0004874696
Step [30/514] - Avg Loss: 1.7657, Current lr: 0.0004874454
Step [40/514] - Avg Loss: 1.7691, Current lr: 0.0004874213
Step [50/514] - Avg Loss: 1.7720, Current lr: 0.0004873971
Step [60/514] - Avg Loss: 1.7784, Current lr: 0.0004873729
Step [70/514] - Avg Loss: 1.7781, Current lr: 0.0004873487
Step [80/514] - Avg Loss: 1.7792, Current lr: 0.0004873244
Step [90/514] - Avg Loss: 1.7795, Current lr: 0.0004873001
Step [100/514] - Avg Loss: 1.7798, Current lr: 0.0004872758
Step [110/514] - Avg Loss: 1.7791, Current lr: 0.0004872515
Step [120/514] - Avg Loss: 1.7782, Current lr: 0.0004872272
Step [130/514] - Avg Loss: 1.7802, Current lr: 0.0004872028
Step [140/514] - Avg Loss: 1.7808, Current lr: 0.0004871784
Step [150/514] - Avg Loss: 1.7811, Current lr: 0.0004871540
Step [160/514] - Avg Loss: 1.7818, Current lr: 0.0004871296
Step [170/514] - Avg Loss: 1.7837, Current lr: 0.0004871051
Step [180/514] - Avg Loss: 1.7842, Current lr: 0.0004870807
Step [190/514] - Avg Loss: 1.7839, Current lr: 0.0004870562
Step [200/514] - Avg Loss: 1.7844, Current lr: 0.0004870316
Step [210/514] - Avg Loss: 1.7847, Current lr: 0.0004870071
Step [220/514] - Avg Loss: 1.7846, Current lr: 0.0004869825
Step [230/514] - Avg Loss: 1.7844, Current lr: 0.0004869579
Step [240/514] - Avg Loss: 1.7847, Current lr: 0.0004869333
